873442;www.interface.ru;"Компания ""Интерфейс КС""";Интерфейс КС;mail@interface.ru;119334, Москва, ул. Бардина, д. 4, корп. 1;127051, Москва г, Дегтярный пер, д. 5, кор. 2;;(495) 925 00 49;"Компания ""Интерфейс"" - один из ведущих российских поставщиков инструментальных средств и решений для создания корпоративных информационных систем, разработки приложений, управления проектами, реинжиниринга деятельности предприятий, OLAP. Поставляет программные продукты и решения компаний Oracle, Computer Associates, IBM, Microsoft, Borland, Embarcadero Technologies, Business Objects an SAP company, Gupta, ROSS Systems, Sybase, Symantec, Rockwell и других. Успешно ведет проекты по автоматизации предприятий на базе ERP-системы iRenaissanse и системы документооборота DocsVision, содействует подготовке к сертификации по стандартам ISO900x и CMM, оказывает консалтинговые услуги и проводит обучение информационным технологиям. ""Интерфейс"" входит в TOP100 консалтинговых компаний России (по рейтингу РА ""Эксперт"").";1459;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ
880037;www.vniia.ru;"Федеральное государственное унитарное предприятие ""Всероссийский научно-исследовательский институт автоматики им. Н.Л.Духова""";ВНИИА;vniia@vniia.ru;101000, Москва г, а/я 918;103030, Москва г, Сущевская ул, д. 22;(499) 978-09-03, 978-05-78, 978-90-72;(499)978-55-61, 978-78-03;"ВНИИ автоматики основан в 1954 году и является одним из ведущих предприятий Государственной корпорации по атомной энергии ""Росатом"". В институте ведутся работы по оборонной и гражданской тематике.";1459;ИСТИНА;3;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ИСТИНА;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ
880169;www.diakont.ru;"Закрытое акционерное общество ""Диаконт""";Диаконт;diakont@diakont.com;195274, Санкт-Петербург г, Учительская ул, д. 2;198903, Санкт-Петербург г, Ропшинское ш, д. 4;(812) 592-62-65;(812) 334-00-81, 592-62-35;ЗАО «Диаконт» — это современное инженерно-производственное предприятие полного цикла, выпускающее высокотехнологичную продукцию для повышения безопасности в атомной и газовой промышленности.;1900;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ
880173;www.diaprom.com;"Закрытое акционерное общество ""Диапром""";Диапром;diaprom@diaprom.com;109507, Москва г, Ферганская ул, д. 25;127051, Москва г, Колобовский 1-й пер, д. 27/3, стр. 2, оф. 11;(495) 984-53-89, 377-01-76;(495) 984-53-89, 377-01-76;Центр диагностики «Диапром» учрежден 12 июля 1994 года в виде закрытого акционерного общества для комплексного решения вопросов разработки, изготовления, внедрения и сопровождения эксплуатации систем диагностики оборудования АЭС. Учредителями ЗАО «Диапром» стали государственные организации Министерства Российской Федерации по атомной энергии, ответственные за обеспечение безопасности АЭС;1459;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ИСТИНА;ЛОЖЬ;ИСТИНА;ЛОЖЬ;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ
880210;http//www.iceu.ru;"Открытое акционерное общество ""Инженерный центр энергетики Урала""";Инженерный центр энергетики Урала;mail@iceu.ru;620075, Екатеринбург, ул. Первомайская, 56;620075, Екатеринбург г, Первомайская ул, а/я 171;(343) 355-13-52;(343) 350-32-35;ОАО « Инженерный центр энергетики Урала» занимает лидирующие позиции в проектном инженерном сопровождении строительства и реконструкции энергетических объектов на Урале и в Западной Сибири.;;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ИСТИНА;ИСТИНА;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ
880262;www.iness.su;"Закрытое акционерное общество ""Испытания и наладка электрических станций и систем""";ИНЭСС;info@iness.su;413866, Саратовская обл, Балаково г, п/о 26, а/я 9;413866, Саратовская обл, Балаково г, п/о 26, а/я 9;(8453) 37-51-48, 33-38-56, 49-91-39, 62-62-60;(8453) 37-51-48, 33-38-56, 49-91-39, 62-62-60;"Основное направление деятельности ЗАО ""ИНЭСС"" - проведение пусконаладочных работ и испытаний, электромонтажные работы, техническое обслуживание, обследование, диагностика, ремонт, реконструкция и модернизация в части электротехнического оборудования и оборудования АСУ ТП, в соответствии с приведённой ниже тематикой работ ЗАО ""ИНЭСС"", на атомных, тепловых и гидро электростанциях, промышленных и энергетических предприятиях.";;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;ЛОЖЬ
880299;www.kbpe.ru;"КБ ""Проминжиниринг""";Проминжиниринг;info@kbpe.ru;107023, г. Москва, ул. Большая Семеновская, д. 40;109316, Москва г, Волгоградский пр-кт, д. 26, стр. 1;(495) 781-72-72, 455-50-21;(495) 781-72-72, 455-50-21;"Конструкторское Бюро «Проминжиниринг» является инжиниринговой компанией, успешно выполняющей различные проекты как на территории России, так и за ее пределами. 
Деятельность компании осуществляется в самых различных отраслях, основными из которых являются электроэнергетика, нефтегазовый комплекс и строительство (модернизация и реконструкция зданий и сооружений).";1459;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ
880324;www.niikp-penza.ru;"Открытое акционерное общество ""НИИ ""Контрольприбор""";Контрольприбор;niikp@sura.ru;440049, Пенза г, Мира ул, д. 60;440049, Пенза г, Мира ул, д. 60;(841-2) 68-06-07, 34-83-07;(841-2) 68-56-62, 34-82-62;"Научно-технический и производственный потенциал ""НИИ ""Контрольприбор"" позволяют производить комплексные научно-исследовательские и опытно-конструкторские работы, обеспечивая полный цикл разработки, изготовления и испытания сложной наукоемкой электронной продукции.";;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ
880432;www.niiis.nnov.ru#http://www.niiis.nnov.ru#;"Федеральное государственное унитарное предприятие ""ФНПЦ НИИИС им. Ю.Е.Седакова""";НИИИС им. Ю.Е. Седакова;niis@niiis.nnov.ru;;603950, Нижний Новгород г, ГСП-486;(831) 466-87-52, 466-67-69;(831) 466-47-96, 465-49-90;Сегодня институт - современный научно-производственный комплекс, включающий научно-исследовательские и технологические подразделения, опытное производство радиоэлектронной аппаратуры и изделий микроэлектроники, вычислительный и испытательный центры.;;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;ИСТИНА;ИСТИНА;ЛОЖЬ;ИСТИНА;ЛОЖЬ;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ИСТИНА;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ИСТИНА;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;ЛОЖЬ
880554;www.mtrele.ru;"Общество с ограниченной ответственностью ""НТЦ ""Механотроника""";Механотроника;mtrele@peterlink.ru;198206, Санкт-Петербург г, Пионерстроя ул, д. 23а;198206, Санкт-Петербург г, Петергофское ш, д. 73;(812) 744-45-83, 728-72-49;(812) 744-89-94, 738-64-94, 728-72-49;Разработка и производство цифровых устройств релейной защиты, АСУ и сопутствующего оборудования для сетей класса от 0,4 до 220 кВ.;1900;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ИСТИНА;ЛОЖЬ;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ИСТИНА;ЛОЖЬ;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ИСТИНА;ИСТИНА;ИСТИНА;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;ЛОЖЬ
